# File generated by CMD 2.7 (http://stev.oapd.inaf.it/cmd) on Tue Mar  8 22:19:31 CET 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014), MNRAS, 444, 2525 + Tang et al. (2014), MNRAS, 445, 4287 + Chen et al. (2015), MNRAS accepted
# Warning: the TP-AGB phase is not included! TP-AGB tracks are in preparation by Marigo et al.
# Photometric system: HST/ACS WFC
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: SSP integrated magnitudes
#	Z	Age		mbol    F435W   F475W   F502N   F550M   F555W   F606W   F625W   F658N   F660N   F775W   F814W   F850LP  F892N
	0.0100	1.78e+08	2.519	3.211	3.168	3.148	3.026	3.066	2.977	2.899	2.771	2.814	2.682	2.644	2.545	2.550
	0.0100	2.00e+08	2.631	3.284	3.240	3.219	3.098	3.138	3.050	2.973	2.848	2.890	2.755	2.717	2.618	2.622
	0.0100	2.24e+08	2.743	3.357	3.312	3.289	3.169	3.209	3.122	3.045	2.923	2.964	2.827	2.789	2.689	2.694
	0.0100	2.51e+08	2.851	3.431	3.382	3.359	3.237	3.278	3.190	3.113	2.994	3.034	2.894	2.856	2.754	2.759
	0.0100	2.82e+08	2.961	3.507	3.454	3.428	3.306	3.347	3.259	3.181	3.065	3.103	2.962	2.923	2.821	2.826
	0.0100	3.16e+08	3.073	3.586	3.529	3.500	3.376	3.419	3.330	3.251	3.137	3.174	3.032	2.993	2.892	2.897
	0.0100	3.55e+08	3.187	3.668	3.607	3.574	3.448	3.492	3.401	3.321	3.210	3.245	3.103	3.066	2.965	2.971
	0.0100	3.98e+08	3.300	3.754	3.687	3.650	3.521	3.566	3.474	3.392	3.282	3.316	3.174	3.136	3.037	3.043
	0.0100	4.47e+08	3.413	3.844	3.770	3.728	3.595	3.642	3.547	3.462	3.353	3.387	3.243	3.206	3.108	3.115
	0.0100	5.01e+08	3.522	3.939	3.856	3.808	3.668	3.719	3.619	3.530	3.420	3.454	3.307	3.270	3.172	3.180
	0.0100	5.62e+08	3.628	4.043	3.949	3.895	3.746	3.800	3.694	3.600	3.488	3.521	3.370	3.333	3.233	3.242
	0.0100	6.31e+08	3.734	4.155	4.050	3.989	3.828	3.887	3.773	3.674	3.557	3.591	3.434	3.396	3.295	3.304
	0.0100	7.08e+08	3.842	4.274	4.157	4.088	3.916	3.979	3.858	3.752	3.630	3.665	3.504	3.466	3.364	3.375
	0.0100	7.94e+08	3.948	4.401	4.270	4.194	4.008	4.075	3.945	3.832	3.703	3.740	3.576	3.537	3.434	3.446
	0.0100	8.91e+08	4.051	4.530	4.383	4.298	4.096	4.169	4.029	3.908	3.770	3.809	3.643	3.604	3.500	3.513
	0.0100	1.00e+09	4.158	4.673	4.511	4.418	4.198	4.277	4.126	3.997	3.849	3.890	3.720	3.680	3.574	3.588
	0.0100	1.12e+09	4.255	4.817	4.637	4.536	4.298	4.382	4.220	4.082	3.922	3.965	3.790	3.748	3.639	3.653
	0.0100	1.26e+09	4.347	4.960	4.764	4.656	4.399	4.489	4.314	4.168	3.996	4.042	3.859	3.815	3.701	3.715
	0.0100	1.41e+09	4.346	5.062	4.839	4.719	4.428	4.529	4.332	4.170	3.980	4.029	3.830	3.781	3.654	3.667
	0.0100	1.58e+09	4.290	5.155	4.900	4.768	4.434	4.549	4.324	4.143	3.934	3.987	3.759	3.702	3.555	3.567
	0.0100	1.78e+09	4.513	5.432	5.177	5.049	4.701	4.820	4.588	4.403	4.192	4.244	3.996	3.935	3.777	3.789
	0.0100	2.00e+09	4.604	5.592	5.323	5.191	4.825	4.949	4.707	4.516	4.299	4.351	4.085	4.020	3.853	3.865
	0.0100	2.24e+09	4.691	5.745	5.461	5.326	4.943	5.072	4.820	4.623	4.402	4.454	4.171	4.103	3.928	3.939
	0.0100	2.51e+09	4.791	5.903	5.607	5.467	5.070	5.203	4.944	4.742	4.516	4.569	4.272	4.200	4.018	4.029
	0.0100	2.82e+09	4.836	6.021	5.703	5.556	5.139	5.278	5.007	4.798	4.565	4.619	4.310	4.235	4.047	4.058
	0.0100	3.16e+09	4.904	6.167	5.833	5.681	5.244	5.389	5.108	4.892	4.655	4.708	4.381	4.302	4.104	4.116
	0.0100	3.55e+09	5.026	6.291	5.956	5.805	5.369	5.514	5.233	5.019	4.782	4.835	4.505	4.426	4.227	4.239
	0.0100	3.98e+09	5.134	6.427	6.086	5.932	5.490	5.637	5.352	5.136	4.896	4.950	4.613	4.532	4.330	4.343
	0.0100	4.47e+09	5.200	6.545	6.193	6.037	5.583	5.733	5.442	5.221	4.980	5.033	4.684	4.600	4.392	4.405
	0.0100	5.01e+09	5.304	6.681	6.322	6.164	5.702	5.855	5.560	5.337	5.094	5.146	4.790	4.705	4.492	4.506
	0.0100	5.62e+09	5.496	6.852	6.495	6.336	5.881	6.032	5.741	5.520	5.275	5.328	4.980	4.895	4.685	4.699
	0.0100	6.31e+09	5.553	6.959	6.591	6.430	5.963	6.118	5.820	5.595	5.348	5.400	5.041	4.954	4.738	4.752
	0.0100	7.08e+09	5.644	7.079	6.703	6.539	6.064	6.221	5.918	5.691	5.441	5.493	5.130	5.042	4.824	4.838
	0.0100	7.94e+09	5.738	7.201	6.817	6.651	6.170	6.328	6.022	5.792	5.540	5.592	5.225	5.135	4.914	4.929
	0.0100	8.91e+09	5.825	7.330	6.939	6.772	6.280	6.442	6.130	5.897	5.643	5.695	5.318	5.226	4.999	5.015
	0.0100	1.00e+10	5.909	7.452	7.053	6.885	6.384	6.548	6.231	5.996	5.739	5.792	5.407	5.313	5.082	5.099
	0.0100	1.12e+10	6.000	7.578	7.171	7.003	6.492	6.658	6.337	6.099	5.839	5.893	5.502	5.406	5.171	5.188
	0.0100	1.26e+10	6.082	7.701	7.287	7.119	6.596	6.766	6.439	6.198	5.936	5.990	5.591	5.493	5.253	5.271
