intspec/m59co_goodmay_int_fc0-    0.000    1.500    0.981   32.788    0.942  717.837  717.036    1.518   39.346   39.246    2.102    0.000    0.000    0.000    0.000    0.000    0.000   19.612   21.321    1.165    3.011    1.940    0.295    2.021
intspec/m59co_goodmay_int_fc1-    1.500    2.500    2.017   41.360    0.510  717.885  716.646    1.533   38.126   38.436    2.174    0.000    0.000    0.000    0.000    0.000    0.000   20.891   22.053    1.475    2.998    2.116    0.273    1.428
intspec/m59co_goodmay_int_fc2-    2.500    4.000    3.266   40.358    0.704  717.159  716.248    1.069   34.222   34.436    1.467    0.000    0.000    0.000    0.000    0.000    0.000   18.916   18.279    1.093    3.289    2.840    0.203    1.966
intspec/m59co_goodmay_int_fc4-    4.000    6.000    4.980   34.841    0.850  717.456  715.872    1.006   32.331   32.325    1.444    0.000    0.000    0.000    0.000    0.000    0.000   17.307   15.883    1.040    3.663    3.294    0.124    1.898
intspec/m59co_goodmay_int_fc6-    6.000    9.000    7.449   29.074    1.014  722.018  719.708    1.082   29.629   30.115    1.595    0.000    0.000    0.000    0.000    0.000    0.000   18.967   18.969    1.872    3.466    3.192    0.180    1.686
intspec/m59co_goodmay_int_fc9-    9.000   12.000   10.470   20.786    0.860  721.884  720.418    1.902   31.598   31.354    2.500    0.000    0.000    0.000    0.000    0.000    0.000   18.828   22.093    1.274    3.058    2.583    0.229    1.230
intspec/m59co_goodmay_int_fc12   12.000   18.000   14.778   13.548    1.489  716.097  714.137    1.608   32.349   31.987    2.487    0.000    0.000    0.000    0.000    0.000    0.000   21.880   23.898    0.879    3.223    2.499    0.202    1.977
